Stab,ST2,ST4,Brand,Sample Code,Data,Gruppo parametri,ABD,Alcol % peso,Alcol % vol,Amaro,Apparent Attenuation (%),Attenuazione Reale (RDF) %,Attenuazione vendita apparente %p,Azoto alfa-amminico t.q.,Cellule all'insemenzamento,Chill-back Start Time,Colore EBC,Data riempimento,Diacetile + precursori (ferm.),Differenza apparente-limite,Durata di conservazione lievito in cella,Durata raffreddamento,Estratto apparente,Estratto apparente limite %Pp,Estratto reale ,Fermentation rate (13.5°-5.5°),Fermentazione STEP 1,Fermentazione STEP 2,Final attenuation (EVG),Grado primitivo %Pp,Hopped Wort,Hopped Wort (37°C),Hopped Wort Actidione,Iso-alfa acidi,Maturazione STEP 3,NBB-A,NBB-B,Occupancy in fermentation,Occupancy in fermentation Racking,Pentandione + precursori,pH,pH minimo (End of Ferm),Plato chiusura freddo,Quotazione lievito - NBB-B,Raffreddamento STEP 3,Raffreddamento STEP 4,Rapporto ER/ABW,Temperatura Fermentazione,Temperatura STEP 1,Temperatura STEP 2,Temperatura STEP 3,Temp. lievito all'insemenzamento,Tempo di riduzione diacetile
PD,FE,FEAS,Asahi Super Dry,20000175,08/01/2020,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20000175,08/01/2020,Fermentazione ASD,,,,,,,,,15.10,141.00,,,14.00,,6.15,27.00,,,,2.21,,,,,,,,,,,,168.00,,19.00,,,,,,,,10.00,,,,4.50,11.71
PD,FE,FEAS,Asahi Super Dry,20000175,08/01/2020,Lista di fermentazione ASD,,4.43,5.64,21.60,85.87,70.74,85.40,64.00,,,9.40,,,0.51,,,1.75,1.24,3.79,,,,89.97,12.37,,,,,,,,,,,4.08,,,,,,0.85,,,,,,
PD,FE,FEAS,Asahi Super Dry,20000175,08/01/2020,Microbiologia FV48/96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20000176,08/01/2020,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20000176,08/01/2020,Fermentazione ASD,,,,,,,,,15.30,134.00,,,20.00,,5.55,32.00,,,,2.07,,,,,,,,,,,,166.00,,17.00,,,,,,,,10.00,,,,4.85,14.42
PD,FE,FEAS,Asahi Super Dry,20000176,08/01/2020,Lista di fermentazione ASD,,4.47,5.66,21.00,86.05,70.93,85.50,65.00,,,9.70,,,0.36,,,1.73,1.37,3.78,,,,88.93,12.38,,,,,,,,,,,4.06,,,,,,0.85,,,,,,
PD,FE,FEAS,Asahi Super Dry,20000176,08/01/2020,Microbiologia FV48/96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20000669,13/01/2020,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20000669,13/01/2020,Fermentazione ASD,,,,,,,,,15.90,163.00,,,9.00,,13.00,24.00,,,,2.10,,,,,,,,,,,,187.00,,11.00,,,,,,,,10.00,,,,9.00,13.63
PD,FE,FEAS,Asahi Super Dry,20000669,13/01/2020,Lista di fermentazione ASD,,4.39,5.58,21.90,85.37,70.34,85.40,61.00,,,9.60,,,0.55,,,1.80,1.25,3.82,,,,89.50,12.31,,,,,,,,,,,4.09,,,,,,0.87,,,,,,
PD,FE,FEAS,Asahi Super Dry,20000669,13/01/2020,Microbiologia FV48/96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20000670,13/01/2020,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20000670,13/01/2020,Fermentazione ASD,,,,,,,,,15.20,157.00,,,14.00,,11.00,30.00,,,,2.13,,,,,,,,,,,,187.00,,14.00,,,,,,,,10.00,,,,8.40,15.38
PD,FE,FEAS,Asahi Super Dry,20000670,13/01/2020,Lista di fermentazione ASD,,4.39,5.59,21.60,85.53,70.46,85.40,64.00,,,10.00,,,0.49,,,1.78,1.29,3.81,,,,89.52,12.30,,,,,,,,,,,4.09,,,,,,0.87,,,,,,
PD,FE,FEAS,Asahi Super Dry,20000670,13/01/2020,Microbiologia FV48/96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20001792,20/01/2020,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20001792,20/01/2020,Fermentazione ASD,,,,,,,,,15.20,161.00,,,15.00,,6.50,24.00,,,,2.10,,,,,,,,,,,,185.00,,21.00,,,,,,,,10.00,,,,3.99,15.54
PD,FE,FEAS,Asahi Super Dry,20001792,20/01/2020,Lista di fermentazione ASD,,4.47,5.68,21.30,85.79,70.69,85.60,61.00,,,9.50,,,0.42,,,1.77,1.35,3.83,,,,89.17,12.46,,,,,,,,,,,4.10,,,,,,0.86,,,,,,
PD,FE,FEAS,Asahi Super Dry,20001792,20/01/2020,Microbiologia FV48/96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20001793,20/01/2020,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20001793,20/01/2020,Fermentazione ASD,,,,,,,,,15.60,154.00,,,5.00,,14.00,99.00,,,,2.27,,,,,,,,,,,,253.00,,11.00,,,,,,,,10.00,,,,8.10,12.25
PD,FE,FEAS,Asahi Super Dry,20001793,20/01/2020,Lista di fermentazione ASD,,4.46,5.68,22.00,85.56,70.54,86.50,63.00,,,9.50,,,0.47,,,1.80,1.33,3.85,,,,89.34,12.47,,,,,,,,,,,4.07,,,,,,0.86,,,,,,
PD,FE,FEAS,Asahi Super Dry,20001793,20/01/2020,Microbiologia FV48/96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20001794,20/01/2020,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20001794,20/01/2020,Fermentazione ASD,,,,,,,,,16.50,166.00,,,14.00,,10.30,78.00,,,,1.98,,,,,,,,,,,,244.00,,22.00,,,,,,,,10.00,,,,4.25,14.75
PD,FE,FEAS,Asahi Super Dry,20001794,20/01/2020,Lista di fermentazione ASD,,4.43,5.63,21.50,85.48,70.43,85.50,60.00,,,9.50,,,0.48,,,1.80,1.32,3.84,,,,89.36,12.40,,,,,,,,,,,4.09,,,,,,0.87,,,,,,
PD,FE,FEAS,Asahi Super Dry,20001794,20/01/2020,Microbiologia FV48/96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20001795,20/01/2020,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20001795,20/01/2020,Fermentazione ASD,,,,,,,,,16.40,135.00,,,17.00,,17.41,104.00,,,,2.00,,,,,,,,,,,,239.00,,24.00,,,,,,,,10.00,,,,4.75,14.46
PD,FE,FEAS,Asahi Super Dry,20001795,20/01/2020,Lista di fermentazione ASD,,4.43,5.64,21.60,85.26,70.27,85.50,65.00,,,9.40,,,0.54,,,1.83,1.29,3.87,,,,89.62,12.43,,,,,,,,,,,4.06,,,,,,0.87,,,,,,
PD,FE,FEAS,Asahi Super Dry,20001795,20/01/2020,Microbiologia FV48/96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20002557,24/01/2020,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20002557,24/01/2020,Fermentazione ASD,,,,,,,,,15.80,167.00,,,18.00,,7.20,20.00,,,,2.05,,,,,,,,,,,,187.00,,16.00,,,,,,,,10.00,,,,4.24,14.79
PD,FE,FEAS,Asahi Super Dry,20002557,24/01/2020,Lista di fermentazione ASD,,4.46,5.67,21.70,85.82,70.71,85.50,64.00,,,9.80,,,0.47,,,1.76,1.29,3.81,,,,89.62,12.43,,,,,,,,,,,4.09,,,,,,0.86,,,,,,
PD,FE,FEAS,Asahi Super Dry,20002557,24/01/2020,Microbiologia FV48/96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20002558,24/01/2020,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20002558,24/01/2020,Fermentazione ASD,,,,,,,,,15.80,155.00,,,10.00,,6.50,22.00,,,,2.10,,,,,,,,,,,,177.00,,16.00,,,,,,,,10.00,,,,4.45,15.29
PD,FE,FEAS,Asahi Super Dry,20002558,24/01/2020,Lista di fermentazione ASD,,4.48,5.70,22.20,86.02,70.87,85.60,62.00,,,9.70,,,0.46,,,1.74,1.28,3.80,,,,89.73,12.46,,,,,,,,,,,4.09,,,,,,0.85,,,,,,
PD,FE,FEAS,Asahi Super Dry,20002558,24/01/2020,Microbiologia FV48/96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20002559,24/01/2020,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20002559,24/01/2020,Fermentazione ASD,,,,,,,,,15.40,148.00,,,14.00,,13.04,48.00,,,,2.33,,,,,,,,,,,,196.00,,22.00,,,,,,,,10.00,,,,3.94,15.00
PD,FE,FEAS,Asahi Super Dry,20002559,24/01/2020,Lista di fermentazione ASD,,4.47,5.69,21.30,85.91,70.79,85.60,62.00,,,9.70,,,0.47,,,1.76,1.29,3.81,,,,89.65,12.46,,,,,,,,,,,4.10,,,,,,0.85,,,,,,
PD,FE,FEAS,Asahi Super Dry,20002559,24/01/2020,Microbiologia FV48/96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20002560,24/01/2020,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20002560,24/01/2020,Fermentazione ASD,,,,,,,,,15.40,159.00,,,13.00,,6.55,27.00,,,,2.05,,,,,,,,,,,,186.00,,17.00,,,,,,,,10.00,,,,5.00,14.46
PD,FE,FEAS,Asahi Super Dry,20002560,24/01/2020,Lista di fermentazione ASD,,4.44,5.65,22.00,85.62,70.54,85.50,61.00,,,9.50,,,0.53,,,1.79,1.26,3.83,,,,89.85,12.42,,,,,,,,,,,4.08,,,,,,0.86,,,,,,
PD,FE,FEAS,Asahi Super Dry,20002560,24/01/2020,Microbiologia FV48/96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20002561,24/01/2020,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20002561,24/01/2020,Fermentazione ASD,,,,,,,,,15.20,177.00,,,7.00,,13.15,30.00,,,,2.18,,,,,,,,,,,,207.00,,10.00,,,,,,,,10.00,,,,4.30,15.21
PD,FE,FEAS,Asahi Super Dry,20002561,24/01/2020,Lista di fermentazione ASD,,4.44,5.65,22.10,85.47,70.44,85.40,61.00,,,6.10,,,0.51,,,1.81,1.30,3.85,,,,89.54,12.43,,,,,,,,,,,4.09,,,,,,0.87,,,,,,
PD,FE,FEAS,Asahi Super Dry,20002561,24/01/2020,Microbiologia FV48/96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20003044,28/01/2020,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20003044,28/01/2020,Fermentazione ASD,,,,,,,,,16.30,141.00,,,10.00,,8.35,32.00,,,,2.18,,,,,,,,,,,,173.00,,15.00,,,,,,,,10.00,,,,4.81,14.71
PD,FE,FEAS,Asahi Super Dry,20003044,28/01/2020,Lista di fermentazione ASD,,4.44,5.67,22.50,85.55,70.48,85.60,62.00,,,9.60,,,0.45,,,1.80,1.35,3.85,,,,89.17,12.46,,,,,,,,,,,4.08,,,,,,0.86,,,,,,
PD,FE,FEAS,Asahi Super Dry,20003044,28/01/2020,Microbiologia FV48/96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20003045,28/01/2020,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20003045,28/01/2020,Fermentazione ASD,,,,,,,,,15.40,159.00,,,9.00,,14.50,70.00,,,,2.30,,,,,,,,,,,,229.00,,15.00,,,,,,,,10.00,,,,3.91,14.46
PD,FE,FEAS,Asahi Super Dry,20003045,28/01/2020,Lista di fermentazione ASD,,4.42,5.63,21.70,85.36,70.34,85.30,62.00,,,10.30,,,0.46,,,1.82,1.36,3.85,,,,89.04,12.41,,,,,,,,,,,4.09,,,,,,0.87,,,,,,
PD,FE,FEAS,Asahi Super Dry,20003045,28/01/2020,Microbiologia FV48/96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20004267,05/02/2020,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20004267,05/02/2020,Fermentazione ASD,,,,,,,,,16.40,161.00,,,18.00,,7.30,32.00,,,,2.21,,,,,,,,,,,,193.00,,22.00,,,,,,,,10.00,,,,4.92,15.54
PD,FE,FEAS,Asahi Super Dry,20004267,05/02/2020,Lista di fermentazione ASD,,4.40,5.60,21.00,85.79,70.66,85.80,63.00,,,9.10,,,0.34,,,1.75,1.41,3.78,,,,88.53,12.30,,,,,,,,,,,4.08,,,,,,0.86,,,,,,
PD,FE,FEAS,Asahi Super Dry,20004267,05/02/2020,Microbiologia FV48/96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20004268,05/02/2020,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20004268,05/02/2020,Fermentazione ASD,,,,,,,,,15.10,154.00,,,17.00,,9.30,19.00,,,,2.33,,,,,,,,,,,,173.00,,25.00,,,,,,,,10.00,,,,6.46,14.25
PD,FE,FEAS,Asahi Super Dry,20004268,05/02/2020,Lista di fermentazione ASD,,4.40,5.64,21.20,85.97,70.75,86.00,65.00,,,9.50,,,0.37,,,1.73,1.36,3.76,,,,88.98,12.34,,,,,,,,,,,4.06,,,,,,0.85,,,,,,
PD,FE,FEAS,Asahi Super Dry,20004268,05/02/2020,Microbiologia FV48/96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20004932,10/02/2020,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20004932,10/02/2020,Fermentazione ASD,,,,,,,,,15.10,153.00,,,9.00,,7.11,168.00,,,,2.15,,,,,,,,,,,,321.00,,14.00,,,,,,,,10.00,,,,4.75,14.21
PD,FE,FEAS,Asahi Super Dry,20004932,10/02/2020,Lista di fermentazione ASD,,4.46,5.68,22.00,86.18,70.99,86.20,61.00,,,10.00,,,0.41,,,1.71,1.30,3.77,,,,89.52,12.40,,,,,,,,,,,4.03,,,,,,0.84,,,,,,
PD,FE,FEAS,Asahi Super Dry,20004932,10/02/2020,Microbiologia FV48/96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20004933,10/02/2020,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20004933,10/02/2020,Fermentazione ASD,,,,,,,,,15.00,194.00,,,12.00,,13.45,226.00,,,,2.13,,,,,,,,,,,,420.00,,17.00,,,,,,,,10.00,,,,3.95,14.92
PD,FE,FEAS,Asahi Super Dry,20004933,10/02/2020,Lista di fermentazione ASD,,4.45,5.66,21.80,86.12,70.94,86.10,62.00,,,9.70,,,0.42,,,1.72,1.30,3.77,,,,89.49,12.37,,,,,,,,,,,4.03,,,,,,0.85,,,,,,
PD,FE,FEAS,Asahi Super Dry,20004933,10/02/2020,Microbiologia FV48/96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20005609,14/02/2020,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20005609,14/02/2020,Fermentazione ASD,,,,,,,,,14.50,163.00,,,12.00,,6.10,34.00,,,,1.79,,,,,,,,,,,,197.00,,19.00,,,,,,,,10.00,,,,10.00,14.63
PD,FE,FEAS,Asahi Super Dry,20005609,14/02/2020,Lista di fermentazione ASD,,4.52,5.75,22.30,86.57,71.32,86.60,61.00,,,9.50,,,0.34,,,1.68,1.34,3.76,,,,89.28,12.50,,,,,,,,,,,4.09,,,,,,0.83,,,,,,
PD,FE,FEAS,Asahi Super Dry,20005609,14/02/2020,Microbiologia FV48/96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20005610,14/02/2020,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20005610,14/02/2020,Fermentazione ASD,,,,,,,,,15.20,181.00,,,16.00,,11.28,34.00,,,,1.98,,,,,,,,,,,,215.00,,25.00,,,,,,,,10.00,,,,4.79,13.38
PD,FE,FEAS,Asahi Super Dry,20005610,14/02/2020,Lista di fermentazione ASD,,4.46,5.66,20.50,85.91,70.80,85.90,60.00,,,9.40,,,0.43,,,1.75,1.32,3.80,,,,89.36,12.40,,,,,,,,,,,4.09,,,,,,0.85,,,,,,
PD,FE,FEAS,Asahi Super Dry,20005610,14/02/2020,Microbiologia FV48/96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20006409,20/02/2020,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20006409,20/02/2020,Fermentazione ASD,,,,,,,,,15.10,202.00,,,11.00,,8.45,46.00,,,,1.75,,,,,,,,,,,,248.00,,19.00,,,,,,,,10.00,,,,7.68,15.00
PD,FE,FEAS,Asahi Super Dry,20006409,20/02/2020,Lista di fermentazione ASD,,4.49,5.73,20.70,85.79,70.69,85.80,62.00,,,9.20,,,0.43,,,1.78,1.35,3.85,,,,89.24,12.55,,,,,,,,,,,4.12,,,,,,0.86,,,,,,
PD,FE,FEAS,Asahi Super Dry,20006409,20/02/2020,Microbiologia FV48/96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20006410,20/02/2020,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20006410,20/02/2020,Fermentazione ASD,,,,,,,,,15.40,138.00,,,14.00,,15.03,34.00,,,,1.83,,,,,,,,,,,,172.00,,22.00,,,,,,,,10.00,,,,8.00,14.58
PD,FE,FEAS,Asahi Super Dry,20006410,20/02/2020,Lista di fermentazione ASD,,4.35,5.55,20.00,85.28,70.24,85.30,63.00,,,9.30,,,0.45,,,1.80,1.35,3.81,,,,88.98,12.25,,,,,,,,,,,4.07,,,,,,0.88,,,,,,
PD,FE,FEAS,Asahi Super Dry,20006410,20/02/2020,Microbiologia FV48/96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20006893,24/02/2020,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20006893,24/02/2020,Fermentazione ASD,,,,,,,,,16.30,90.00,,,15.00,,15.00,104.00,,,,2.21,,,,,,,,,,,,194.00,,16.00,,,,,,,,10.00,,,,8.20,13.58
PD,FE,FEAS,Asahi Super Dry,20006893,24/02/2020,Lista di fermentazione ASD,,4.41,5.62,20.50,85.42,70.38,85.40,62.00,,,9.40,,,0.41,,,1.80,1.39,3.84,,,,88.77,12.37,,,,,,,,,,,4.08,,,,,,0.87,,,,,,
PD,FE,FEAS,Asahi Super Dry,20006893,24/02/2020,Microbiologia FV48/96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20006894,24/02/2020,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20006894,24/02/2020,Fermentazione ASD,,,,,,,,,16.10,177.00,,,14.00,,17.00,54.00,,,,2.33,,,,,,,,,,,,231.00,,20.00,,,,,,,,10.00,,,,7.90,13.96
PD,FE,FEAS,Asahi Super Dry,20006894,24/02/2020,Lista di fermentazione ASD,,4.43,5.63,20.40,85.72,70.64,85.70,61.00,,,9.20,,,0.46,,,1.77,1.31,3.81,,,,89.40,12.36,,,,,,,,,,,4.10,,,,,,0.86,,,,,,
PD,FE,FEAS,Asahi Super Dry,20006894,24/02/2020,Microbiologia FV48/96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20006895,24/02/2020,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20006895,24/02/2020,Fermentazione ASD,,,,,,,,,15.90,167.00,,,13.00,,19.00,78.00,,,,2.33,,,,,,,,,,,,245.00,,19.00,,,,,,,,10.00,,,,7.60,13.79
PD,FE,FEAS,Asahi Super Dry,20006895,24/02/2020,Lista di fermentazione ASD,,4.41,5.61,20.50,85.40,70.36,85.40,65.00,,,9.50,,,0.50,,,1.81,1.31,3.84,,,,89.41,12.37,,,,,,,,,,,4.12,,,,,,0.87,,,,,,
PD,FE,FEAS,Asahi Super Dry,20006895,24/02/2020,Microbiologia FV48/96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20006896,24/02/2020,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20006896,24/02/2020,Fermentazione ASD,,,,,,,,,16.00,184.00,,,14.00,,17.00,54.00,,,,2.13,,,,,,,,,,,,238.00,,13.00,,,,,,,,10.00,,,,7.90,13.50
PD,FE,FEAS,Asahi Super Dry,20006896,24/02/2020,Lista di fermentazione ASD,,4.44,5.65,20.30,85.83,70.70,85.80,64.00,,,9.40,,,0.40,,,1.76,1.36,3.80,,,,89.02,12.38,,,,,,,,,,,4.10,,,,,,0.86,,,,,,
PD,FE,FEAS,Asahi Super Dry,20006896,24/02/2020,Microbiologia FV48/96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20008265,03/03/2020,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20008265,03/03/2020,Fermentazione ASD,,,,,,,,,16.00,178.00,,,14.00,,8.04,36.00,,,,2.10,,,,,,,,,,,,214.00,,13.00,,,,,,,,10.00,,,,4.71,15.42
PD,FE,FEAS,Asahi Super Dry,20008265,03/03/2020,Lista di fermentazione ASD,,4.44,5.64,21.10,85.60,70.54,85.60,61.00,,,9.40,,,0.43,,,1.79,1.36,3.83,,,,89.03,12.40,,,,,,,,,,,4.08,,,,,,0.86,,,,,,
PD,FE,FEAS,Asahi Super Dry,20008265,03/03/2020,Microbiologia FV48/96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20008266,03/03/2020,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20008266,03/03/2020,Fermentazione ASD,,,,,,,,,15.20,152.00,,,12.00,,14.20,32.00,,,,2.21,,,,,,,,,,,,184.00,,15.00,,,,,,,,10.00,,,,8.00,15.17
PD,FE,FEAS,Asahi Super Dry,20008266,03/03/2020,Lista di fermentazione ASD,,4.49,5.71,21.60,85.91,70.80,85.90,60.00,,,9.70,,,0.44,,,1.76,1.32,3.83,,,,89.43,12.49,,,,,,,,,,,4.04,,,,,,0.85,,,,,,
PD,FE,FEAS,Asahi Super Dry,20008266,03/03/2020,Microbiologia FV48/96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,0.00,,,,,,,,,,,,,,,,
