,ABD,Alcol_peso,Alcol_vol,Attenuazione Reale (RDF) %,Attenuazione vendita apparente %p,Cellule all'insemenzamento,Diacetile + precursori (ferm.),Differenza apparente-limite,Durata di conservazione lievito in cella,Estratto apparente,Estratto apparente limite %Pp,Estratto reale,Fermentation rate (13.5°-5.5°),Grado primitivo %Pp,Hopped Wort,Hopped Wort (37°C),NBB-A,NBB-B,Pentandione + precursori,pH,Rapporto ER/ABW,Temperatura Fermentazione,Temp. lievito all'insemenzamento,Tempo di riduzione diacetile
1244,0.0,4.4,5.6,69.82,85.3,17.0,20.0,0.33,32.2,1.83,1.5,3.93,2.0,12.44,0.0,0.0,0.0,0.0,21.0,4.1,0.89,10.0,2.3,17.46
1245,0.0,4.38,5.57,70.0,86.7,16.45,23.0,0.2,39.5,1.65,1.45,3.88,2.8,12.35,0.0,0.0,0.0,0.0,21.0,4.0,0.89,10.0,2.4,17.67
1246,0.0,4.42,5.63,70.29,86.0,16.0,27.0,0.44,23.3,1.74,1.3,3.86,2.13,12.41,0.0,0.0,0.0,0.0,21.0,4.0,0.87,10.0,2.3,17.42
1247,0.0,5.5,7.03,66.29,82.05,13.0,46.0,0.52,24.15,2.83,2.31,5.31,2.3,15.75,0.0,0.0,0.0,0.0,53.0,4.46,0.97,12.807534027221777,2.3,11.219009009009008
1248,0.0,4.25,5.44,61.69,76.46,13.6,42.0,0.21,27.3,3.12,2.91,5.08,1.86,13.26,0.0,0.0,0.0,0.0,44.0,4.33,1.2,12.807534027221777,2.5,11.219009009009008
1249,0.0,4.06,5.19,60.56,77.78,18.0,73.0,0.33,11.2,2.87,2.54,5.1,2.25,12.93,0.0,0.0,0.0,0.0,141.0,4.33,1.26,13.0,2.3,14.21
1250,0.0,4.05,5.18,61.83,76.53,17.0,141.0,0.46,41.35,2.97,2.51,4.83,1.64,12.65,0.0,0.0,0.0,0.0,192.0,4.35,1.19,13.0,2.3,9.42
1251,0.0,4.18,5.34,63.04,78.06,18.0,87.0,0.33,42.3,2.81,2.48,4.73,1.81,12.8,0.0,0.0,0.0,0.0,172.0,4.35,1.13,13.0,2.3,7.25
1252,0.0,5.13,6.55,66.34,82.13,17.6,35.0,0.2,31.1,2.64,2.44,4.97,3.0,14.76,0.0,0.0,0.0,0.0,37.0,4.02,0.97,13.5,2.4,9.75
1253,0.0,5.02,6.42,65.0,80.5,17.6,50.0,0.41,33.35,2.88,2.47,5.16,2.78,14.74,0.0,0.0,0.0,0.0,106.0,4.15,1.03,13.5,2.3,9.5
1254,0.0,5.16,6.59,67.34,83.32,17.7,47.0,0.02,9.4,2.44,2.42,4.78,2.74,14.64,0.0,0.0,0.0,0.0,47.0,4.0,0.93,13.5,2.2,10.0
1255,0.0,5.16,6.59,66.92,82.45,16.8,50.0,0.01,17.05,2.58,2.57,4.87,3.0,14.72,0.0,0.0,0.0,0.0,76.0,4.05,0.94,13.5,2.3,9.8
1256,0.0,5.18,6.62,66.31,82.44,16.7,47.0,0.06,19.3,2.62,2.56,5.02,2.7,14.9,0.0,0.0,0.0,0.0,90.0,4.17,0.97,13.5,2.2,9.96
1257,0.0,5.08,6.49,66.22,82.02,17.8,44.0,0.41,34.5,2.64,2.23,4.95,2.95,14.65,0.0,0.0,0.0,0.0,86.0,4.27,0.97,13.5,2.3,10.0
1258,0.0,5.04,6.44,65.91,81.69,16.8,50.0,0.27,37.5,2.68,2.41,4.98,3.0,14.61,0.0,0.0,0.0,0.0,77.0,3.98,0.99,13.5,2.3,9.08
1259,0.0,4.92,6.29,65.73,81.22,16.7,28.0,0.29,24.2,2.69,2.4,4.91,3.0,14.33,0.0,0.0,0.0,0.0,25.0,4.03,1.0,13.5,2.5,10.0
1260,0.0,5.09,6.52,66.22,77.93,16.8,46.0,0.91,27.45,3.24,2.33,4.96,3.0,14.68,0.0,0.0,0.0,0.0,66.0,4.03,0.97,13.5,2.3,9.96
1261,0.0,2.53,3.24,47.12,67.95,17.6,46.0,1.02,20.47475871313673,3.36,2.34,5.55,1.51,10.5,0.0,0.0,0.0,0.0,112.0,4.21,2.19,14.0,2.8270625,10.71
1262,0.0,5.04,6.44,65.91,81.56,16.7,35.0,0.31,25.05,2.69,2.38,4.98,3.0,14.61,0.0,0.0,0.0,0.0,44.0,4.04,0.99,13.5,2.3,10.0
